Designer,Photo,Name,Category,Primary source, Date available,Projects,<3
Ysolda Teague,,Ishbel, Shawl/Wrap,Whimsical Little Knits,2009,12241,13382
Ysolda Teague,,Damson, Shawl/Wrap,Whimsical Little Knits 2, August 2009,3544,8490
Ysolda Teague,,Liesl, Cardigan,Ysolda, June 2008,3002,7878
Ysolda Teague,,Elijah, Toys,Ysolda, November 2007,2996,8957
Ysolda Teague,,Urchin, Hat,"Knitty, Fall 2007", September 2007,2880,5993
Ysolda Teague,,Gretel, Hat,Ysolda, August 2007,2355,6265
Ysolda Teague,,Rose Red, Hat,Ysolda, March 2008,2053,5964
Ysolda Teague,,Veyla, Mittens/Gloves,Whimsical Little Knits 2, September 2009,1717,6994
Ysolda Teague,,Ripley, Hat,Whimsical Little Knits 2, October 2009,1552,4630
Ysolda Teague,,Snapdragon Tam, Hat,Whimsical Little Knits 2, September 2009,1417,3945
Ysolda Teague,,Garter Stitch Mitts, Mittens/Gloves,Ysolda, November 2007,1410,3547
Ysolda Teague,,Peaks Island Hood, Scarf,Whimsical Little Knits 2, October 2009,1239,8245
Ysolda Teague,,Vivian, Cardigan,twist collective Winter 2008, November 2008,1052,13251
Ysolda Teague,,Snapdragon flip-tops, Mittens/Gloves,Whimsical Little Knits 2, September 2009,1000,2858
Ysolda Teague,,Cloud Bolero [no longer available], Shrug,Yarn Forward (.com), April 2007,905,4658
Ysolda Teague,,Scroll Lace Scarf, Scarf,Whimsical Little Knits 2, July 2009,851,3302
Ysolda Teague,,Vine Yoke Cardigan, Cardigan,twist collective Fall 2009, August 2009,836,10454
Ysolda Teague,,Coraline, Cardigan,Ysolda, March 2008,822,8751
Ysolda Teague,,Orchid Thief, Shawl/Wrap,Ysolda, August 2010,786,5796
Ysolda Teague,,Icing Swirl Hat, Hat,Whimsical Little Knits,2009,740,1626
Ysolda Teague,,Marin, Shawl/Wrap,A Verb for Keeping Warm,2012,720,7261
Ysolda Teague,,hoot!, Hat,Ysolda, September 2009,707,5498
Ysolda Teague,,tiny shoes, Socks,Whimsical Little Knits, February 2009,692,3307
Ysolda Teague,,Sophie, Toys,Ysolda, February 2008,641,2169
Ysolda Teague,,Hap Blanket, Blanket,Whimsical Little Knits, March 2009,638,2132
Ysolda Teague,,Mousie, Toys,Whimsical Little Knits, March 2009,635,3167
Ysolda Teague,,Otto, Toys,Ysolda, April 2008,589,3480
Ysolda Teague,,Ishbel Beret, Hat,Whimsical Little Knits, March 2009,572,1436
Ysolda Teague,,Poppy, Toys,Whimsical Little Knits, December 2008,534,1742
Ysolda Teague,,Lace-up Opera Gloves, Mittens/Gloves,Ysolda, April 2007,511,4236
Ysolda Teague,,Cairn, Hat,Whimsical Little Knits, February 2009,479,984
Ysolda Teague,,Verity, Hat,Ysolda, March 2008,476,2622
Ysolda Teague,,Cria, Cardigan,Little Red in the City, May 2011,459,2828
Ysolda Teague,,Stuffies, Toys,Ysolda, April 2007,435,3188
Ysolda Teague,,Grown-up booties, Other,Whimsical Little Knits, March 2009,386,1125
Ysolda Teague,,Snow White, Pullover,Ysolda, July 2007,356,6081
Ysolda Teague,,Smith, Toys,Whimsical Little Knits 2, October 2009,318,1611
Ysolda Teague,,Skull Illusion Scarf, Scarf,Ysolda, April 2007,313,856
Ysolda Teague,,Struan, Hat,Ysolda, February 2008,313,1543
Ysolda Teague,,Little Birds, Cardigan,twist collective fall 2008, August 2008,291,4688
Ysolda Teague,,Chickadee, Cardigan,Little Red in the City, May 2011,252,1815
Ysolda Teague,,Lauriel, Cardigan,Little Red in the City, June 2011,210,1754
Ysolda Teague,,Arisaig, Cardigan,"Knitty, Fall 2005", September 2005,209,2579
Ysolda Teague,,Laika, Cardigan,Little Red in the City, May 2011,207,1312
Ysolda Teague,,Angostura, Vest,Little Red in the City, June 2011,200,1493
Ysolda Teague,,Not-so-tiny slippers, Other,Whimsical Little Knits 3,2012,160,1068
Ysolda Teague,,Emily Capelet, Shawl/Wrap,Whimsical Little Knits 2, September 2009,159,1193
